"PostCode","shortPostcode","Year","Town","District","County","Population2019","Population2020","Population2021","Population2022"
"HG4 4EF","HG4","2020","RIPON","HARROGATE","NORTH YORKSHIRE",27308.0470977806,27461.3149841266,27615.4430947465,27770.4362576953
"BD20 8AB","BD20","2020","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"TS13 5BH","TS13","2020","SALTBURN-BY-THE-SEA","SCARBOROUGH","NORTH YORKSHIRE",10953.0071312427,11014.4814741764,11076.3008451735,11138.4671807227
"YO17 9HJ","YO17","2020","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO60 7PB","YO60","2020","YORK","RYEDALE","NORTH YORKSHIRE",5008.02457413654,5036.13238201084,5064.39794647196,5092.82215293723
"DL8 4NS","DL8","2020","LEYBURN","RICHMONDSHIRE","NORTH YORKSHIRE",19700.4130579301,19810.9826881464,19922.1728963725,20033.9871656358
"BD20 8FG","BD20","2020","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO61 1LN","YO61","2020","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO13 9PL","YO13","2020","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",10680.4759479212,10740.420694898,10800.7018849985,10861.3214065278
"YO14 0NZ","YO14","2020","FILEY","SCARBOROUGH","NORTH YORKSHIRE",11889.9651142124,11956.6981843312,12023.8057974031,12091.2900555709
"YO51 9EH","YO51","2020","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"BD23 4EY","BD23","2020","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"DL6 3EY","DL6","2020","NORTHALLERTON","HAMBLETON","NORTH YORKSHIRE",16388.8422838491,16480.8255445894,16573.3250663388,16666.3437466402
"LS25 5DS","LS25","2020","LEEDS","SELBY","NORTH YORKSHIRE",42165.2218784662,42401.8764591282,42639.8592763807,42879.1777850233
